['t_id', 'chr', 'strand', 'start', 'end', 't_name', 'num_exons', 'length', 'gene_id', 'gene_name', 'cov', 'FPKM'] x
['92', '2L', '+', '102380', '104142', 'FBtr0330636', '3', '1221', 'FBgn0031217', 'CG11377', '0.000000', '0.000000'] x
['93', '2L', '-', '103962', '106732', 'FBtr0301452', '5', '2551', 'FBgn0026787', 'Nhe1', '9.972167', '14.630777'] x
['94', '2L', '+', '106903', '114432', 'FBtr0089437', '8', '2387', 'FBgn0005278', 'Sam-S', '0.000000', '0.000000'] P40320 
['95', '2L', '+', '107761', '111337', 'FBtr0308091', '4', '961', 'FBgn0005278', 'Sam-S', '0.417555', '0.612621'] P40320 
['96', '2L', '+', '107761', '114210', 'FBtr0089428', '8', '2184', 'FBgn0005278', 'Sam-S', '0.652911', '0.957926'] P40320 
['97', '2L', '+', '107761', '114432', 'FBtr0089429', '7', '2293', 'FBgn0005278', 'Sam-S', '0.000000', '0.000000'] P40320 
['98', '2L', '+', '107761', '114432', 'FBtr0330656', '6', '2298', 'FBgn0005278', 'Sam-S', '0.000000', '0.000000'] P40320 
['99', '2L', '+', '107937', '114210', 'FBtr0089432', '7', '2283', 'FBgn0005278', 'Sam-S', '52.546223', '77.093788'] P40320 
['52', '2L', '-', '9839', '18570', 'FBtr0078170', '9', '5248', 'FBgn0002121', 'l(2)gl', '52.385597', '76.858124'] P08111 
['53', '2L', '-', '9839', '18570', 'FBtr0078171', '10', '5391', 'FBgn0002121', 'l(2)gl', '0.013651', '0.020028'] P08111 
['54', '2L', '-', '9839', '21376', 'FBtr0078166', '9', '5155', 'FBgn0002121', 'l(2)gl', '4.131793', '6.062007'] P08111 
['55', '2L', '-', '9839', '21376', 'FBtr0078167', '9', '5230', 'FBgn0002121', 'l(2)gl', '0.000000', '0.000000'] P08111 
['56', '2L', '-', '9839', '21376', 'FBtr0078168', '9', '5225', 'FBgn0002121', 'l(2)gl', '0.000000', '0.000000'] P08111 
['57', '2L', '-', '9839', '21376', 'FBtr0078169', '10', '5082', 'FBgn0002121', 'l(2)gl', '0.000000', '0.000000'] P08111 
['58', '2L', '-', '9839', '21376', 'FBtr0306589', '10', '5315', 'FBgn0002121', 'l(2)gl', '0.000000', '0.000000'] P08111 
['59', '2L', '-', '9839', '21376', 'FBtr0306590', '9', '5179', 'FBgn0002121', 'l(2)gl', '0.000000', '0.000000'] P08111 
['60', '2L', '-', '9839', '21376', 'FBtr0306591', '10', '5390', 'FBgn0002121', 'l(2)gl', '0.756526', '1.109946'] P08111 
['61', '2L', '-', '9839', '21376', 'FBtr0306592', '11', '5528', 'FBgn0002121', 'l(2)gl', '0.000000', '0.000000'] P08111 
['62', '2L', '-', '9839', '21376', 'FBtr0330655', '9', '5281', 'FBgn0002121', 'l(2)gl', '0.000000', '0.000000'] P08111 
['63', '2L', '-', '21823', '25155', 'FBtr0113008', '5', '2629', 'FBgn0031209', 'Ir21a', '0.000000', '0.000000'] Q9VPI2 
['94', '2L', '+', '106903', '114432', 'FBtr0089437', '8', '2387', 'FBgn0005278', 'Sam-S', '0.000000', '0.000000'] P40320 
['95', '2L', '+', '107761', '111337', 'FBtr0308091', '4', '961', 'FBgn0005278', 'Sam-S', '0.417555', '0.612621'] P40320 
['96', '2L', '+', '107761', '114210', 'FBtr0089428', '8', '2184', 'FBgn0005278', 'Sam-S', '0.652911', '0.957926'] P40320 
['97', '2L', '+', '107761', '114432', 'FBtr0089429', '7', '2293', 'FBgn0005278', 'Sam-S', '0.000000', '0.000000'] P40320 
['98', '2L', '+', '107761', '114432', 'FBtr0330656', '6', '2298', 'FBgn0005278', 'Sam-S', '0.000000', '0.000000'] P40320 
['99', '2L', '+', '107937', '114210', 'FBtr0089432', '7', '2283', 'FBgn0005278', 'Sam-S', '52.546223', '77.093788'] P40320 
['100', '2L', '+', '107937', '114432', 'FBtr0089430', '7', '2380', 'FBgn0005278', 'Sam-S', '42.815418', '62.817127'] P40320 
['101', '2L', '+', '107937', '114432', 'FBtr0089431', '7', '2380', 'FBgn0005278', 'Sam-S', '22.179234', '32.540516'] P40320 
['102', '2L', '+', '108089', '114432', 'FBtr0089433', '7', '2353', 'FBgn0005278', 'Sam-S', '61.574200', '90.339287'] P40320 
['103', '2L', '+', '108133', '114432', 'FBtr0089434', '7', '2429', 'FBgn0005278', 'Sam-S', '8.576783', '12.583525'] P40320 
['104', '2L', '+', '108133', '114432', 'FBtr0089435', '7', '2309', 'FBgn0005278', 'Sam-S', '18.151068', '26.630545'] P40320 
['105', '2L', '+', '109594', '114210', 'FBtr0089436', '6', '1971', 'FBgn0005278', 'Sam-S', '0.000000', '0.000000'] P40320 
['125', '2L', '+', '132077', '133995', 'FBtr0300568', '2', '1699', 'FBgn0001142', 'Gs1', '1.508218', '2.212799'] P20477 
['126', '2L', '+', '132077', '134472', 'FBtr0078114', '2', '2176', 'FBgn0001142', 'Gs1', '55.053425', '80.772263'] P20477 
['127', '2L', '+', '132077', '134472', 'FBtr0078115', '1', '2396', 'FBgn0001142', 'Gs1', '1.497807', '2.197525'] P20477 
['140', '2L', '-', '153539', '155305', 'FBtr0078147', '2', '1699', 'FBgn0031227', 'CG3709', '10.808123', '15.857260'] Q9VPK7 
['151', '2L', '+', '159032', '201588', 'FBtr0078122', '12', '17880', 'FBgn0016977', 'spen', '0.000000', '0.000000'] Q8SX83 
['152', '2L', '+', '159032', '201588', 'FBtr0306341', '13', '17963', 'FBgn0016977', 'spen', '0.000000', '0.000000'] Q8SX83 
['153', '2L', '+', '159032', '201588', 'FBtr0330652', '14', '20622', 'FBgn0016977', 'spen', '0.152195', '0.223295'] Q8SX83 
['154', '2L', '+', '159032', '203250', 'FBtr0332336', '14', '19571', 'FBgn0016977', 'spen', '0.000000', '0.000000'] Q8SX83 
['155', '2L', '+', '159032', '203397', 'FBtr0078121', '11', '19604', 'FBgn0016977', 'spen', '0.000000', '0.000000'] Q8SX83 
['156', '2L', '+', '182820', '201588', 'FBtr0332337', '11', '17143', 'FBgn0016977', 'spen', '13.029229', '19.115982'] Q8SX83 
['157', '2L', '+', '182820', '203250', 'FBtr0078123', '10', '18859', 'FBgn0016977', 'spen', '13.567551', '19.905785'] Q8SX83 
['158', '2L', '+', '182820', '203250', 'FBtr0330653', '11', '18434', 'FBgn0016977', 'spen', '3.761728', '5.519062'] Q8SX83 
['159', '2L', '+', '203779', '204782', 'FBtr0078124', '2', '903', 'FBgn0031231', 'mRpL10', '54.418606', '79.840874'] Q9VPL3 
['188', '2L', '-', '271912', '273715', 'FBtr0078139', '2', '1756', 'FBgn0086912', 'mbm', '43.594128', '63.959621'] Q9VPM5 
['195', '2L', '+', '277582', '282167', 'FBtr0078129', '6', '4008', 'FBgn0003444', 'smo', '26.274181', '38.548462'] P91682 
['203', '2L', '-', '287252', '288932', 'FBtr0078134', '1', '1681', 'FBgn0025686', 'Amnionless', '0.000000', '0.000000'] Q9VPN2 
['204', '2L', '-', '287252', '289144', 'FBtr0330647', '1', '1893', 'FBgn0025686', 'Amnionless', '0.000000', '0.000000'] Q9VPN2 
['206', '2L', '-', '292959', '294681', 'FBtr0333408', '2', '1655', 'FBgn0017457', 'U2af38', '32.903992', '48.275463'] Q94535 
['207', '2L', '-', '293353', '294681', 'FBtr0078133', '2', '1261', 'FBgn0017457', 'U2af38', '7.300308', '10.710731'] Q94535 
['213', '2L', '+', '305935', '346255', 'FBtr0078047', '17', '5486', 'FBgn0004611', 'Plc21C', '8.373882', '12.285836'] P25455 
['214', '2L', '+', '305935', '346255', 'FBtr0330673', '16', '5300', 'FBgn0004611', 'Plc21C', '8.982321', '13.178514'] P25455 
['215', '2L', '+', '305935', '355566', 'FBtr0078049', '18', '7347', 'FBgn0004611', 'Plc21C', '0.000000', '0.000000'] P25455 
['218', '2L', '+', '310200', '346255', 'FBtr0330674', '17', '5419', 'FBgn0004611', 'Plc21C', '0.000000', '0.000000'] P25455 
['219', '2L', '+', '310200', '346541', 'FBtr0078048', '17', '5723', 'FBgn0004611', 'Plc21C', '0.000000', '0.000000'] P25455 
['220', '2L', '+', '310200', '347927', 'FBtr0078050', '17', '7127', 'FBgn0004611', 'Plc21C', '0.000000', '0.000000'] P25455 
['232', '2L', '+', '378112', '387439', 'FBtr0078053', '5', '1806', 'FBgn0000061', 'al', '0.000000', '0.000000'] Q06453 
['236', '2L', '+', '404285', '407969', 'FBtr0078054', '3', '3564', 'FBgn0003278', 'RpI135', '11.590067', '17.004499'] P20028 
['237', '2L', '-', '408030', '414777', 'FBtr0089488', '9', '4711', 'FBgn0264855', 'AP-2alpha', '61.445332', '90.150215'] P91926 
['238', '2L', '-', '408876', '412885', 'FBtr0089489', '8', '3432', 'FBgn0264855', 'AP-2alpha', '0.008450', '0.012398'] P91926 
['239', '2L', '+', '415067', '418536', 'FBtr0078055', '3', '3327', 'FBgn0263933', 'ebi', '75.861580', '111.301178'] Q95RJ9 
['240', '2L', '-', '418434', '419652', 'FBtr0078090', '1', '1219', 'FBgn0031252', 'CG13690', '45.956432', '67.425499'] Q9VPP5 
['241', '2L', '+', '419952', '420697', 'FBtr0078056', '2', '601', 'FBgn0002593', 'RpLP1', '556.607117', '816.632507'] P08570 
['242', '2L', '+', '419952', '420864', 'FBtr0331932', '2', '768', 'FBgn0002593', 'RpLP1', '435.574036', '639.057373'] P08570 
['246', '2L', '+', '431227', '448701', 'FBtr0078059', '6', '6672', 'FBgn0004583', 'ex', '0.632494', '0.927971'] Q07436 
['247', '2L', '+', '431227', '448701', 'FBtr0329832', '6', '6454', 'FBgn0004583', 'ex', '0.000000', '0.000000'] Q07436 
['249', '2L', '-', '448254', '453024', 'FBtr0078087', '5', '2775', 'FBgn0015924', 'crq', '36.042591', '52.880299'] Q27367 
['250', '2L', '-', '448254', '453024', 'FBtr0331233', '6', '2714', 'FBgn0015924', 'crq', '0.588218', '0.863011'] Q27367 
['251', '2L', '-', '448716', '451302', 'FBtr0304741', '5', '1938', 'FBgn0015924', 'crq', '0.000000', '0.000000'] Q27367 
['252', '2L', '-', '448716', '452752', 'FBtr0331232', '5', '2041', 'FBgn0015924', 'crq', '40.924797', '60.043282'] Q27367 
['253', '2L', '-', '448716', '453024', 'FBtr0078088', '6', '2063', 'FBgn0015924', 'crq', '0.000000', '0.000000'] Q27367 
['261', '2L', '+', '473013', '476170', 'FBtr0078062', '7', '2592', 'FBgn0027592', 'MED15', '36.116329', '52.988480'] Q9Y149 
['262', '2L', '+', '476220', '540532', 'FBtr0333012', '8', '4242', 'FBgn0003963', 'ush', '0.000000', '0.000000'] Q9VPQ6 
['263', '2L', '+', '476220', '540532', 'FBtr0333013', '9', '6084', 'FBgn0003963', 'ush', '0.371631', '0.545243'] Q9VPQ6 
['267', '2L', '+', '490835', '540532', 'FBtr0310027', '8', '4654', 'FBgn0003963', 'ush', '0.000000', '0.000000'] Q9VPQ6 
['268', '2L', '+', '523466', '540560', 'FBtr0078063', '8', '4752', 'FBgn0003963', 'ush', '0.000000', '0.000000'] Q9VPQ6 
['269', '2L', '+', '523736', '540560', 'FBtr0329895', '8', '4482', 'FBgn0003963', 'ush', '0.000000', '0.000000'] Q9VPQ6 
['275', '2L', '-', '544925', '552454', 'FBtr0344014', '4', '4461', 'FBgn0005660', 'Ets21C', '0.016140', '0.023680'] P29776 
['277', '2L', '-', '547016', '549502', 'FBtr0112854', '3', '1603', 'FBgn0005660', 'Ets21C', '0.044916', '0.065899'] P29776 
['278', '2L', '-', '547016', '552454', 'FBtr0078079', '3', '2423', 'FBgn0005660', 'Ets21C', '0.000000', '0.000000'] P29776 
['279', '2L', '-', '547016', '552923', 'FBtr0345429', '3', '2892', 'FBgn0005660', 'Ets21C', '0.000000', '0.000000'] P29776 
['288', '2L', '-', '566366', '568121', 'FBtr0078075', '4', '1584', 'FBgn0021874', 'Nle', '0.906389', '1.329819'] Q9VPR4 
['298', '2L', '-', '583544', '594685', 'FBtr0343220', '3', '2362', 'FBgn0010323', 'Gsc', '0.000000', '0.000000'] P54366 
['299', '2L', '-', '583544', '594685', 'FBtr0343221', '3', '2362', 'FBgn0010323', 'Gsc', '0.016935', '0.024846'] P54366 
['310', '2L', '-', '640013', '714983', 'FBtr0078045', '12', '12427', 'FBgn0000497', 'ds', '0.000000', '0.000000'] Q24292 
['311', '2L', '-', '640306', '714983', 'FBtr0343249', '12', '12134', 'FBgn0000497', 'ds', '0.000000', '0.000000'] Q24292 
['313', '2L', '+', '728362', '730564', 'FBtr0078000', '1', '2203', 'FBgn0011244', 'Hsp60B', '0.000000', '0.000000'] Q9VPS5 
['328', '2L', '+', '780482', '782885', 'FBtr0078006', '4', '2220', 'FBgn0041250', 'Gr21a', '0.054054', '0.079306'] Q9VPT1 
['329', '2L', '+', '781276', '782885', 'FBtr0331651', '4', '1426', 'FBgn0041250', 'Gr21a', '0.000000', '0.000000'] Q9VPT1 
['332', '2L', '-', '786153', '790798', 'FBtr0078042', '5', '2583', 'FBgn0000442', 'Pkg21D', '0.000000', '0.000000'] Q03042 
['338', '2L', '+', '815993', '817032', 'FBtr0078010', '1', '1040', 'FBgn0031282', 'Pex12', '0.000000', '0.000000'] Q9VPT5 
['339', '2L', '+', '815993', '818096', 'FBtr0332972', '1', '2104', 'FBgn0031282', 'Pex12', '0.351236', '0.515320'] Q9VPT5 
['341', '2L', '-', '818079', '819508', 'FBtr0078039', '2', '1370', 'FBgn0031284', 'CG3876', '15.322628', '22.480768'] Q9VPT7 
['342', '2L', '+', '819964', '821209', 'FBtr0078011', '1', '1246', 'FBgn0015621', 'Clp', '0.000000', '0.000000'] Q9VPT8 
['360', '2L', '+', '852768', '854539', 'FBtr0078016', '3', '1320', 'FBgn0020545', 'kraken', '5.999658', '8.802466'] O18391 
['361', '2L', '+', '852848', '854539', 'FBtr0334794', '3', '1240', 'FBgn0020545', 'kraken', '2.703865', '3.967006'] O18391 
['373', '2L', '-', '868673', '869857', 'FBtr0078030', '1', '1185', 'FBgn0020305', 'dbe', '0.000000', '0.000000'] Q9VPU8 
['379', '2L', '+', '877302', '878270', 'FBtr0078023', '2', '871', 'FBgn0002936', 'ninaA', '0.000000', '0.000000'] P15425 
['382', '2L', '+', '898500', '901316', 'FBtr0345738', '2', '2749', 'FBgn0002563', 'Lsp1beta', '0.000000', '0.000000'] P11996 
['383', '2L', '+', '898644', '901316', 'FBtr0078025', '2', '2605', 'FBgn0002563', 'Lsp1beta', '0.000000', '0.000000'] P11996 
['388', '2L', '+', '922793', '958098', 'FBtr0077949', '11', '4160', 'FBgn0028481', 'CG4341', '0.000000', '0.000000'] Q9V3X5 
['389', '2L', '+', '922793', '958098', 'FBtr0305064', '10', '3801', 'FBgn0028481', 'CG4341', '0.000000', '0.000000'] Q9V3X5 
['397', '2L', '-', '1049674', '1077815', 'FBtr0077993', '5', '5206', 'FBgn0003310', 'S', '23.535151', '34.529865'] P42519 
['398', '2L', '-', '1051792', '1077811', 'FBtr0077994', '5', '2267', 'FBgn0003310', 'S', '0.000000', '0.000000'] P42519 
['399', '2L', '+', '1077948', '1080803', 'FBtr0077952', '3', '2745', 'FBgn0015905', 'ast', '19.697632', '28.899603'] Q9VPW1 
